soilRastID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3
25,,,gl-gs,,1,3,C,1000,0.5,0.5,gl-gs-gs,250,1.51,0.15,2.52,0.7,11.2,26.9,67.8,0,0.16,0.15,0,750,1.67,0.18,7.5,0.3,9,31.6,59.4,0,0.22,0.1,0,1500,1.78,0.14,2.5,0.12,18,16,66,0,0.16,0.17
27,,,pli,,1,3,D,1000,0.5,0.5,pli-pli-pli,250,1.27,0.23,17,2.11,18,67,15,0,0.1,0.49,0,750,1.35,0.23,9,0.97,20,58,22,0,0.2,0.43,0,1500,1.35,0.23,9,0.97,20,58,22,0,0.2,0.43
28,,,pgl-pl,,1,3,B,1000,0.5,0.5,pgl-pgl-pl,250,1.54,0.12,20,1.45,7,9,84,0,0.2,0.16,0,750,1.6,0.1,18,0.52,7,9,84,0,0.2,0.16,0,1500,1.73,0.09,80,0.06,2,4,94,0,0.24,0.08
29,,,Tn-pl,,1,3,B,1000,0.5,0.5,tn-tn-pl,200,0.64,0.34,120,40,80,0,0,0,0.01,0.03,0,650,0.64,0.3,120,36,80,0,0,0,0.01,0.01,0,1500,1.56,0.09,85,0.89,2,4,94,0,0.24,0.08
32,,,pgm-gs,,1,3,C,1000,0.5,0.5,pgm-gs-gs,250,1.55,0.15,10.8,1.28,7,9,84,0,0.2,0.13,0,750,1.67,0.18,7.5,0.3,9,31.6,59.4,0,0.22,0.1,0,1500,1.78,0.14,2.5,0.12,18,16,66,0,0.16,0.17
33,,,pglp-gl,,1,3,B,1000,0.5,0.5,pglp-pglp-gl,250,1.56,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.66,0.13,18,0.7,7,9,84,0,0.16,0.15,0,1500,1.62,0.11,2.3,0.4,11.2,26.9,67.8,0,0.16,0.15
34,,,pgl-ps-gl,,1,3,B,1000,0.5,0.5,pgl-ps-gl,250,1.5,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.55,0.11,45,0.29,5,6,89,0,0.22,0.1,0,1500,1.62,0.11,2.3,0.4,11.2,26.9,67.8,0,0.16,0.15
37,,,plz-pl,,1,3,C,1000,0.5,0.5,plz-plz-pl,250,1.56,0.12,17,0.89,1,90,9,0,0.24,0.08,0,750,1.61,0.12,13,0.68,1,90,9,0,0.24,0.08,0,1500,1.51,0.15,80,0.2,30,15,35,20,0.16,0.15
38,,,i,,1,3,D,1000,0.5,0.5,i-i-i,250,1.3,0.13,27.4,0.95,60,20,20,0,0.22,0.41,0,750,1.4,0.12,14.7,0.29,60,20,20,0,0.22,0.41,0,1500,1.5,0.11,10.4,0.13,60,20,20,0,0.22,0.41
39,,,plz-pli,,1,3,C,1000,0.5,0.5,plz-pli-pli,250,1.56,0.12,17,0.89,1,90,9,0,0.24,0.08,0,750,1.35,0.23,9,0.97,20,58,22,0,0.2,0.43,0,1500,1.35,0.23,9,0.97,20,58,22,0,0.2,0.43
40,,,F,,1,3,B,1000,0.5,0.5,F-F-F,250,1.5,0.22,0.18,3.48,35,30,35,0,0.12,0.22,0,750,1.45,0.22,0.18,1.16,35,30,35,0,0.12,0.16,0,1500,1.45,0.22,0.18,1.16,35,30,35,0,0.12,0.16
44,,,E-mt,,1,3,B,1000,0.5,0.5,mt-mt-mt,250,0.7,0.35,36,30,50,0,0,0,0.01,0.01,0,750,0.7,0.35,36,30,50,0,0,0,0.01,0.01,0,1500,0.7,0.35,36,30,50,0,0,0,0.01,0.01
